,name,platform,score,total_reviews,main_story,main_extra,avg_playthrough,normalized_score,normalized_reviews,normalized_time,playability_score
371,while True: learn(),pc,0,0,7.41,9.11,8.26,0.0,0.0,0.009372464697238753,0.19
185,The Legend of Zelda,NES,0,0,8.09,8.48,8.285,0.0,0.0,0.009400831721140809,0.19
331,Tyrian 2000,pc,0,0,7.3,9.21,8.255,0.0,0.0,0.009366791292458345,0.19
341,Hundred Days - Winemaking Simulator,pc,0,0,2.82,13.93,8.375,0.0,0.0,0.009502953007188205,0.19
433,Red Wings: Aces of the Sky,pc,0,0,4.72,10.1,7.41,0.0,0.0,0.008407985884568907,0.17
158,StarTropics,NES,0,0,6.3,7.43,6.865,0.0,0.0,0.007789584763504122,0.16
59,Harry Potter and the Philosopher's Stone,GBC,0,0,6.14,7.92,7.029999999999999,0.0,0.0,0.00797680712125768,0.16
463,The Dig,pc,0,0,6.85,7.61,7.23,0.0,0.0,0.008203743312474115,0.16
91,Metroid,NES,0,0,6.27,6.72,6.494999999999999,0.0,0.0,0.0073697528097537175,0.15
471,Zak McKracken and the Alien Mindbenders,pc,0,0,5.5,7.67,6.585,0.0,0.0,0.0074718740958011134,0.15
27,Donkey Kong,NES,0,0,6.05,6.3,6.175,0.0,0.0,0.007006654903807422,0.14
202,Tomb Raider,playstation-4,0,0,12.58,0.0,6.29,0.0,0.0,0.007137143213756873,0.14
329,Beneath a Steel Sky,pc,0,0,5.83,6.33,6.08,0.0,0.0,0.006898860212979616,0.14
477,Clouds & Sheep 2,pc,0,0,6.0,6.0,6.0,0.0,0.0,0.006808085736493042,0.14
443,Sam & Max Hit the Road,pc,0,0,5.26,5.9,5.58,0.0,0.0,0.006331519734938529,0.13
168,Super Mario Bros. 3,NES,0,0,4.91,6.11,5.51,0.0,0.0,0.006252092068012777,0.13
244,Half-Life 2: Deathmatch,pc,0,0,2.78,7.94,5.36,0.0,0.0,0.006081889924600451,0.12
246,Hammerfight,pc,0,0,4.14,5.59,4.865,0.0,0.0,0.005520222851339775,0.11
14,Castlevania II: Simon's Quest,NES,0,0,4.18,4.29,4.234999999999999,0.0,0.0,0.0048053738490080045,0.1
13,Castlevania,NES,0,0,3.03,4.87,3.95,0.0,0.0,0.004481989776524586,0.09
77,Kirby's Adventure,NES,0,0,3.55,4.1,3.8249999999999997,0.0,0.0,0.004340154657014314,0.09
67,Kid Icarus,NES,0,0,3.81,4.26,4.035,0.0,0.0,0.004578437657791571,0.09
476,Maniac Mansion,pc,0,0,3.03,5.1,4.0649999999999995,0.0,0.0,0.004612478086474035,0.09
328,Lure of the Temptress,pc,0,0,3.07,4.16,3.615,0.0,0.0,0.004101871656237058,0.08
436,Tiny Robots Recharged,pc,0,0,3.01,3.5,3.255,0.0,0.0,0.003693386512047475,0.07
460,Loom,pc,0,0,2.97,3.1,3.035,0.0,0.0,0.0034437567017093973,0.07
330,Teenagent,pc,0,0,2.89,2.92,2.9050000000000002,0.0,0.0,0.0032962481774187146,0.07
